DB_Size,Time_Seconds
256,6964.9562
448,12303.7367
640,17923.1450
832,22916.7937
1024,27890.4091
1216,32853.4135
1408,37815.3921
1600,42778.1234
1792,47735.5678
1984,52701.2345
2176,57655.8765
2368,62620.1122
2560,67588.4433
2752,72545.9988
2944,77510.2211
3136,82468.7766
3328,87430.3344
3520,92395.1122
3712,97358.5566
3904,102320.9988
4096,107285.4433
4288,112248.1122
4480,117215.6677
4672,122178.2233
4864,127140.8899
5056,132105.3344
5248,137068.7788
5440,142035.1122
5632,146998.5566
5824,151965.9911
6016,156928.4455
6208,161895.1122
6400,166858.6677
6592,171825.2233
6784,176788.8899
6976,181755.3344
7168,186718.7788
7360,191685.1122
7552,196648.5566
7744,201615.9911
7936,206578.4455
8128,211545.1122
8320,216508.6677
8512,221475.2233
8704,226438.8899
8896,231405.3344
9088,236368.7788
9280,241335.1122
9472,246298.5566
9664,251265.9911
9856,256228.4455
10048,261195.1122
