DB_Size,T_token,T_client_enc,T_oprf_rtt,T_query_rtt,T_dec,T_total
256,2.2331,5.8991,0.0069,19.0611,0.9226,28.1228
448,0.2742,5.5117,0.0076,21.1284,0.4643,27.3862
640,0.1180,5.0389,0.0073,17.7879,0.4803,23.4323
832,0.1335,5.7343,0.0083,18.5323,0.4973,24.9058
1000,0.1350,5.6041,0.0068,18.2774,0.5607,24.5839
1256,0.1263,5.5766,0.0075,20.8027,0.5186,27.0317
1448,0.1479,5.7524,0.0081,19.3073,0.6687,25.8844
1640,0.1278,5.6313,0.0077,17.5469,0.5149,23.8286
1832,0.1221,5.4144,0.0067,18.2135,0.5278,24.2845
2024,0.1277,2.9592,0.0070,20.7562,0.5153,24.3654
2216,0.1288,5.8298,0.0102,20.6327,0.5011,27.1026
2408,0.1250,5.4072,0.0075,17.9013,0.5357,23.9767
2756,0.1227,5.4328,0.0080,19.8736,0.5039,25.9411
2948,0.1288,5.5000,0.0071,13.7694,0.5126,19.9179
3140,0.1423,5.7494,0.0095,20.9482,0.5373,27.3868
3332,0.1276,5.6609,0.0089,20.1143,0.4907,26.4023
3500,0.1241,5.4785,0.0073,17.8188,0.5554,23.9841
3756,0.1210,5.4993,0.0079,20.5435,0.5198,26.6914
3948,0.1210,5.6552,0.0071,18.1412,0.5987,24.5233
4256,0.1363,5.7300,0.0084,18.7525,0.7384,25.3657
4448,0.1740,3.7231,0.0088,20.4917,0.5076,24.9053
4640,0.1254,5.9226,0.0086,16.9142,0.5465,23.5172
4832,0.1256,2.8746,0.0074,19.8427,0.4962,23.3466
5024,0.1213,5.4463,0.0084,19.9494,0.5039,26.0293
5216,0.1196,5.4094,0.0081,19.3140,0.7157,25.5667
5408,0.1605,6.2425,0.0080,18.6526,0.5242,25.5878
5756,0.1304,6.7699,0.0088,22.2200,0.9491,30.0782
5948,0.4113,12.3920,0.0122,24.7023,0.8953,38.4130
6140,0.2299,6.8304,0.0070,19.3448,0.6727,27.0848
6332,0.1459,6.5006,0.0074,36.6635,1.1370,44.4543
6500,0.3787,12.8891,0.0075,27.9743,1.1742,42.4238
6756,0.3416,6.3076,0.0147,18.9575,0.5082,26.1296
6948,0.1341,5.7816,0.0075,17.9723,0.5484,24.4439
7140,0.1262,5.6187,0.0074,23.2004,-1.3919,27.5607
7332,0.2335,6.3947,0.0075,24.5256,0.5873,31.7486
7524,0.1264,5.5888,0.0216,19.2591,0.5550,25.5508
7716,0.1811,5.6870,0.0118,18.7968,0.5268,25.2034
7908,0.1240,2.9681,0.0072,20.4354,0.5107,24.0454
8256,0.1223,5.4133,0.0077,21.4119,0.5547,27.5099
8448,0.1282,5.5398,0.0093,20.9383,0.6176,27.2332
8640,0.2913,6.1134,0.0086,18.8865,0.5013,25.8011
8832,0.1280,5.4333,0.0075,19.6427,0.5877,25.7992
9024,0.1889,6.1352,0.0080,20.3645,0.7367,27.4332
9216,0.1654,6.3091,0.0082,19.5722,0.5289,26.5839
9408,0.1359,5.7225,0.0092,21.7386,0.5180,28.1243
9600,0.1225,5.5856,0.0086,18.4992,0.5236,24.7396
9856,0.1192,5.4512,0.0070,19.9630,0.6896,26.2301
10000,0.1511,7.6548,0.0095,29.3973,1.3787,38.5914
