DB_Size,Size_OPRF_Req,Size_OPRF_Res,Size_Query_Req,Size_Query_Res,Total_Size_Bytes
256,584,584,166127960,30695572,196824700
448,584,584,166203964,33623208,199828340
640,584,584,166210804,35950644,202162616
832,584,584,166264144,37749992,204015304
1000,584,584,166227036,38147632,204375836
1256,584,584,166266828,39811140,206079136
1448,584,584,166249004,40409508,206659680
1640,584,584,166220124,40810236,207031528
1832,584,584,166244156,41073200,207318524
2024,584,584,166209036,41206084,207416288
2216,584,584,166259720,41406448,207667336
2408,584,584,166169588,41674088,207844844
2756,584,584,166174300,41740772,207916240
2948,584,584,166239048,41805124,208045340
3140,584,584,166195736,41873524,208070428
3332,584,584,166232792,41871836,208105796
3500,584,584,166175652,41939412,208116232
3756,584,584,166216864,42006576,208224608
3948,584,584,166296880,42004184,208302232
4256,584,584,166204424,42003332,208208924
4448,584,584,166252588,42004264,208258020
4640,584,584,166249236,42005660,208256064
4832,584,584,166208808,42005716,208215692
5024,584,584,166253448,42003604,208258220
5216,584,584,166228304,42004348,208233820
5408,584,584,166225616,42006564,208233348
5756,584,584,166214996,42006456,208222620
5948,584,584,166177952,42007160,208186280
6140,584,584,166240032,42006920,208248120
6332,584,584,166225656,42008416,208235240
6500,584,584,166201876,42005508,208208552
6756,584,584,166225788,42004884,208231840
6948,584,584,166241216,42002252,208244636
7140,584,584,166243920,42004592,208249680
7332,584,584,166192260,42003748,208197176
7524,584,584,166200340,42006308,208207816
7716,584,584,166260580,42005968,208267716
7908,584,584,166187960,42003864,208192992
8256,584,584,166257936,42002284,208261388
8448,584,584,166257740,42006228,208265136
8640,584,584,166216644,42005936,208223748
8832,584,584,166199252,42005672,208206092
9024,584,584,166249864,42005376,208256408
9216,584,584,166210976,42004084,208216228
9408,584,584,166216016,42006208,208223392
9600,584,584,166205616,42007704,208214488
9856,584,584,166254832,42002260,208258260
10000,584,584,166300644,42008252,208310064
