DB_Size,Query_ID,Labels,Retrieved_Count,P@5,R@5,nDCG@5,LabelMatch@5,P@10,R@10,nDCG@10,LabelMatch@10,P@20,R@20,nDCG@20,LabelMatch@20
1000,QUERY_0,Fracture,30,0.397,0.2399,0.447,0.377,0.3491,0.3306,0.4291,0.3291,0.2488,0.3688,0.3588,0.2288
1000,QUERY_1,Edema,33,0.4607,0.2769,0.5107,0.4407,0.3867,0.3548,0.4667,0.3667,0.3198,0.4398,0.4298,0.2998
1000,QUERY_2,"Pleural Effusion,Atelectasis",17,0.3254,0.1839,0.3754,0.3054,0.3237,0.313,0.4037,0.3037,0.2664,0.3864,0.3764,0.2464
1000,QUERY_3,"Pleural Other,No Finding,Atelectasis",48,0.4074,0.2405,0.4574,0.3874,0.3899,0.3664,0.4699,0.3699,0.3209,0.4409,0.4309,0.3009
1000,QUERY_4,"Consolidation,Lung Opacity,Support Devices",22,0.4526,0.2729,0.5026,0.4326,0.372,0.3422,0.452,0.352,0.2997,0.4197,0.4097,0.2797
1000,QUERY_5,"Pleural Other,Pneumonia",36,0.389,0.2205,0.439,0.369,0.3381,0.3139,0.4181,0.3181,0.3351,0.4551,0.4451,0.3151
1000,QUERY_6,"Consolidation,Cardiomegaly",25,0.4526,0.2673,0.5026,0.4326,0.4381,0.4054,0.5181,0.4181,0.3418,0.4618,0.4518,0.3218
1000,QUERY_7,Pneumothorax,32,0.457,0.262,0.507,0.437,0.4189,0.3814,0.4989,0.3989,0.3383,0.4583,0.4483,0.3183
1000,QUERY_8,"Enlarged Cardiomediastinum,Support Devices,Consolidation",35,0.401,0.2487,0.451,0.381,0.3114,0.2952,0.3914,0.2914,0.2718,0.3918,0.3818,0.2518
1000,QUERY_9,Lung Opacity,26,0.3976,0.2442,0.4476,0.3776,0.3535,0.3368,0.4335,0.3335,0.2803,0.4003,0.3903,0.2603
1000,QUERY_10,"Support Devices,Pneumothorax,Lung Lesion",23,0.425,0.2676,0.475,0.405,0.3092,0.2905,0.3892,0.2892,0.2561,0.3761,0.3661,0.2361
1000,QUERY_11,"Pleural Other,Support Devices",48,0.3683,0.2292,0.4183,0.3483,0.2834,0.2738,0.3634,0.2634,0.1969,0.3169,0.3069,0.1769
1000,QUERY_12,Enlarged Cardiomediastinum,20,0.4075,0.2503,0.4575,0.3875,0.3374,0.3188,0.4174,0.3174,0.26,0.38,0.37,0.24
1000,QUERY_13,"Lung Lesion,Enlarged Cardiomediastinum,Consolidation",26,0.4846,0.3056,0.5346,0.4646,0.4049,0.3755,0.4849,0.3849,0.3544,0.4744,0.4644,0.3344
1000,QUERY_14,"Fracture,Pleural Other,Cardiomegaly",18,0.4802,0.2864,0.5302,0.4602,0.3881,0.3512,0.4681,0.3681,0.3965,0.5165,0.5065,0.3765
1000,QUERY_15,"Pleural Other,Lung Opacity",18,0.4236,0.2463,0.4736,0.4036,0.346,0.3173,0.426,0.326,0.289,0.409,0.399,0.269
1000,QUERY_16,"Support Devices,Pleural Effusion",28,0.391,0.2344,0.441,0.371,0.336,0.3177,0.416,0.316,0.239,0.359,0.349,0.219
1000,QUERY_17,"Consolidation,Edema",15,0.3636,0.2052,0.4136,0.3436,0.3462,0.327,0.4262,0.3262,0.3032,0.4232,0.4132,0.2832
1000,QUERY_18,"Consolidation,Lung Opacity",28,0.377,0.2157,0.427,0.357,0.3559,0.3352,0.4359,0.3359,0.2504,0.3704,0.3604,0.2304
1000,QUERY_19,Pneumonia,18,0.3741,0.2101,0.4241,0.3541,0.3725,0.3505,0.4525,0.3525,0.2931,0.4131,0.4031,0.2731
1000,QUERY_20,"Support Devices,Pleural Effusion",42,0.454,0.2569,0.504,0.434,0.4006,0.362,0.4806,0.3806,0.3774,0.4974,0.4874,0.3574
1000,QUERY_21,Support Devices,20,0.3954,0.2444,0.4454,0.3754,0.3299,0.3144,0.4099,0.3099,0.2501,0.3701,0.3601,0.2301
1000,QUERY_22,Pneumonia,25,0.4617,0.2638,0.5117,0.4417,0.3996,0.3606,0.4796,0.3796,0.35,0.47,0.46,0.33
1000,QUERY_23,"Pleural Effusion,Pleural Other,No Finding",22,0.5183,0.3265,0.5683,0.4983,0.4564,0.4205,0.5364,0.4364,0.375,0.495,0.485,0.355
1000,QUERY_24,Lung Lesion,16,0.432,0.2539,0.482,0.412,0.3601,0.331,0.4401,0.3401,0.3229,0.4429,0.4329,0.3029
1000,QUERY_25,Pleural Effusion,17,0.3689,0.2228,0.4189,0.3489,0.3125,0.2994,0.3925,0.2925,0.2095,0.3295,0.3195,0.1895
1000,QUERY_26,"No Finding,Consolidation",25,0.3883,0.2443,0.4383,0.3683,0.2629,0.2509,0.3429,0.2429,0.2716,0.3916,0.3816,0.2516
